iter	Quantile:alpha=0.9
0	0.001845780235
1	0.001834821396
2	0.001822554323
3	0.001811148531
4	0.001799567572
5	0.001788592947
6	0.001778984883
7	0.001769749895
8	0.001760562345
9	0.001750832298
10	0.001741833534
11	0.001733736923
12	0.001726990162
13	0.001719977095
14	0.001713137989
15	0.001706415959
16	0.00169964879
17	0.00169312526
18	0.001687162984
19	0.001680502721
20	0.001673918927
21	0.001668363808
22	0.001662476718
23	0.001657569931
24	0.001652442727
25	0.001647327639
26	0.001642153084
27	0.001637668269
28	0.001633435945
29	0.001629638371
30	0.001624706836
31	0.001620518752
32	0.001616757121
33	0.001613633218
34	0.00161043432
35	0.001606470806
36	0.001603330264
37	0.001600382392
38	0.001596669219
39	0.001593835413
40	0.001590482874
41	0.001587595535
42	0.001584292292
43	0.0015813469
44	0.001578695912
45	0.001576168683
46	0.001573543692
47	0.00157112051
48	0.001568703204
49	0.001566637625
50	0.001564167263
51	0.001562113188
52	0.001560088179
53	0.001558323459
54	0.001556288468
55	0.00155471101
56	0.001552964718
57	0.001551034789
58	0.001549358872
59	0.001546932708
60	0.001544465514
61	0.001542345501
62	0.001540739057
63	0.001539358061
64	0.00153780751
65	0.001536383457
66	0.001534898835
67	0.001533183137
68	0.001531336645
69	0.001530212014
70	0.00152861643
71	0.001526940556
72	0.001525233008
73	0.001523779824
74	0.001521788203
75	0.001520421118
76	0.00151894695
77	0.001517757395
78	0.001516149165
79	0.001515271295
80	0.001514024094
81	0.001513031294
82	0.001511782545
83	0.001510495143
84	0.001509387866
85	0.001508421535
86	0.00150756643
87	0.001506630258
88	0.001505706234
89	0.001504515055
90	0.00150320459
91	0.001502089413
92	0.001500633188
93	0.001499468337
94	0.001498727189
95	0.001497968159
96	0.001496994891
97	0.001495574064
98	0.001494582629
99	0.001493558401
100	0.001492648193
101	0.001491787658
102	0.001490615381
103	0.001490029713
104	0.00148882582
105	0.001488186777
106	0.001487219537
107	0.001485802438
108	0.001484857025
109	0.001483885312
110	0.001483351852
111	0.001482358886
112	0.00148125907
113	0.001480253854
114	0.001479560601
115	0.001478640937
116	0.001477377519
117	0.001476772292
118	0.001475988882
119	0.001475380723
120	0.001474691533
121	0.001474274093
122	0.001473689788
123	0.001472751918
124	0.001472286154
125	0.001471932082
126	0.001471215528
127	0.001470355077
128	0.001469803926
129	0.001469313479
130	0.001468426815
131	0.001467617562
132	0.001466985353
133	0.001466310961
134	0.0014651463
135	0.001464634674
136	0.00146361295
137	0.001463040604
138	0.001462567088
139	0.001461822938
140	0.001461510043
141	0.001460920668
142	0.00146033469
143	0.001459622679
144	0.00145902946
145	0.001458186079
146	0.001457420195
147	0.001456560182
148	0.001455840547
149	0.001455436479
