feature,missing_rate
E7,0.775194660734149
V10,0.6728587319243604
S3,0.6377085650723026
M1,0.6170189098998887
M13,0.6162402669632926
M14,0.6162402669632926
M6,0.560956618464961
V9,0.5048943270300333
S12,0.39343715239154614
M5,0.36518353726362623
M2,0.3578420467185762
S8,0.3347052280311457
M3,0.22447163515016685
E1,0.19844271412680756
P6,0.18220244716351502
E20,0.17975528364849833
P7,0.17975528364849833
P5,0.17508342602892102
V5,0.1681868743047831
S5,0.16807563959955507
V7,0.16807563959955507
V13,0.16807563959955507
M8,0.11190211345939934
M9,0.11190211345939934
P1,0.11190211345939934
P4,0.11190211345939934
P10,0.11190211345939934
P11,0.11190211345939934
P12,0.11190211345939934
P13,0.11190211345939934
P2,0.11190211345939934
P3,0.11190211345939934
M7,0.11190211345939934
V6,0.11190211345939934
P8,0.11190211345939934
P9,0.11190211345939934
S1,0.11190211345939934
S10,0.11190211345939934
S11,0.11190211345939934
V8,0.11190211345939934
S2,0.11190211345939934
S4,0.11190211345939934
S6,0.11190211345939934
S7,0.11190211345939934
S9,0.11190211345939934
V1,0.11190211345939934
V11,0.11190211345939934
V12,0.11190211345939934
M4,0.11190211345939934
E10,0.11190211345939934
E11,0.11190211345939934
E19,0.11190211345939934
E8,0.11190211345939934
E6,0.11190211345939934
E5,0.11190211345939934
E4,0.11190211345939934
E3,0.11190211345939934
E2,0.11190211345939934
E18,0.11190211345939934
M18,0.11190211345939934
E17,0.11190211345939934
E16,0.11190211345939934
E15,0.11190211345939934
E14,0.11190211345939934
E13,0.11190211345939934
E12,0.11190211345939934
E9,0.11190211345939934
I1,0.11190211345939934
I2,0.11190211345939934
I3,0.11190211345939934
M17,0.11190211345939934
M16,0.11190211345939934
M15,0.11190211345939934
V2,0.11190211345939934
M12,0.11190211345939934
M11,0.11190211345939934
M10,0.11190211345939934
V4,0.11190211345939934
I9,0.11190211345939934
I8,0.11190211345939934
I7,0.11190211345939934
I6,0.11190211345939934
I5,0.11190211345939934
I4,0.11190211345939934
V3,0.11190211345939934
forward_returns,0.0
risk_free_rate,0.0
date_id,0.0
D1,0.0
D9,0.0
D8,0.0
D7,0.0
D6,0.0
D5,0.0
D4,0.0
D3,0.0
D2,0.0
market_forward_excess_returns,0.0
